------------------------
------------------------
------------------------
------------------------
------------------------
27/7/2020 9:33:7 msg Hay buena cobertura con la residencia 0 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=0, tx_trials=0, tx_power=14, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 9:33:21 msg Hay buena cobertura con la residencia 6 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=6, tx_frequency=868000000)
27/7/2020 9:33:23 msg Hay buena cobertura con la residencia 7 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=7, tx_frequency=868000000)
27/7/2020 9:33:26 msg Hay buena cobertura con la residencia 8 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=8, tx_frequency=868000000)
27/7/2020 9:33:28 msg Hay buena cobertura con la residencia 9 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=9, tx_frequency=868000000)
27/7/2020 9:33:31 msg Hay buena cobertura con la residencia 10 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=10, tx_frequency=868000000)
27/7/2020 9:33:33 msg Hay buena cobertura con la residencia 11 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=11, tx_frequency=868000000)
27/7/2020 9:33:36 msg Hay buena cobertura con la residencia 12 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=12, tx_frequency=868000000)
27/7/2020 9:33:38 msg Hay buena cobertura con la residencia 13 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=13, tx_frequency=868000000)
27/7/2020 9:33:40 msg Hay buena cobertura con la residencia 14 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=14, tx_frequency=868000000)
27/7/2020 9:33:43 msg Hay buena cobertura con la residencia 15 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=15, tx_frequency=868000000)
27/7/2020 9:33:45 msg Hay buena cobertura con la residencia 16 stats (rx_timestamp=0, rssi=0, snr=0.0, sfrx=0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=16, tx_frequency=868000000)
------------------------
27/7/2020 9:33:7 msg Hay buena cobertura con la residencia 0 stats (rx_timestamp=10149162, rssi=-47, snr=6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=14, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 9:33:9 msg Hay buena cobertura con la residencia 1 stats (rx_timestamp=13377166, rssi=-50, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=1, tx_frequency=868000000)
27/7/2020 9:33:12 msg Hay buena cobertura con la residencia 2 stats (rx_timestamp=13377166, rssi=-50, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=2, tx_frequency=868000000)
27/7/2020 9:33:14 msg Hay buena cobertura con la residencia 3 stats (rx_timestamp=17191221, rssi=-47, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=3, tx_frequency=868000000)
------------------------
27/7/2020 9:33:7 msg Hay buena cobertura con la residencia 0 stats (rx_timestamp=8561160, rssi=-105, snr=5.0, sfrx=7, sftx=0, tx_trials=0, tx_power=14, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 9:33:9 msg Hay buena cobertura con la residencia 1 stats (rx_timestamp=11281206, rssi=-103, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=1, tx_frequency=868000000)
27/7/2020 9:33:12 msg Hay buena cobertura con la residencia 2 stats (rx_timestamp=15211170, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=2, tx_frequency=868000000)
27/7/2020 9:33:15 msg Hay buena cobertura con la residencia 3 stats (rx_timestamp=18268171, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=3, tx_frequency=868000000)
27/7/2020 9:33:17 msg Hay buena cobertura con la residencia 4 stats (rx_timestamp=21406220, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=4, tx_frequency=868000000)
27/7/2020 9:33:20 msg Hay buena cobertura con la residencia 5 stats (rx_timestamp=21406220, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=5, tx_frequency=868000000)
27/7/2020 9:33:22 msg Hay buena cobertura con la residencia 6 stats (rx_timestamp=25220231, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=6, tx_frequency=868000000)
27/7/2020 9:33:25 msg Hay buena cobertura con la residencia 7 stats (rx_timestamp=28304238, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=7, tx_frequency=868000000)
27/7/2020 9:33:27 msg Hay buena cobertura con la residencia 8 stats (rx_timestamp=28304238, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=8, tx_frequency=868000000)
27/7/2020 9:33:30 msg Hay buena cobertura con la residencia 9 stats (rx_timestamp=31730197, rssi=-103, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=9, tx_frequency=868000000)
27/7/2020 9:33:32 msg Hay buena cobertura con la residencia 10 stats (rx_timestamp=35543247, rssi=-103, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=10, tx_frequency=868000000)
27/7/2020 9:33:35 msg Hay buena cobertura con la residencia 11 stats (rx_timestamp=38663250, rssi=-102, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=11, tx_frequency=868000000)
27/7/2020 9:33:38 msg Hay buena cobertura con la residencia 12 stats (rx_timestamp=41818243, rssi=-103, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=12, tx_frequency=868000000)
27/7/2020 9:33:40 msg Hay buena cobertura con la residencia 13 stats (rx_timestamp=41818243, rssi=-103, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=13, tx_frequency=868000000)
27/7/2020 9:33:43 msg Hay buena cobertura con la residencia 14 stats (rx_timestamp=45560215, rssi=-103, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=14, tx_frequency=868000000)
27/7/2020 9:33:45 msg Hay buena cobertura con la residencia 15 stats (rx_timestamp=48349215, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=15, tx_frequency=868000000)
27/7/2020 9:33:48 msg Hay buena cobertura con la residencia 16 stats (rx_timestamp=51570210, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=16, tx_frequency=868000000)
27/7/2020 9:33:50 msg Hay buena cobertura con la residencia 17 stats (rx_timestamp=51570210, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=17, tx_frequency=868000000)
27/7/2020 9:33:53 msg Hay buena cobertura con la residencia 18 stats (rx_timestamp=51570210, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=18, tx_frequency=868000000)
27/7/2020 9:33:55 msg Hay buena cobertura con la residencia 19 stats (rx_timestamp=58152270, rssi=-106, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=19, tx_frequency=868000000)
27/7/2020 9:33:58 msg Hay buena cobertura con la residencia 20 stats (rx_timestamp=61362224, rssi=-105, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=20, tx_frequency=868000000)
27/7/2020 9:34:1 msg Hay buena cobertura con la residencia 21 stats (rx_timestamp=64336225, rssi=-105, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=21, tx_frequency=868000000)
27/7/2020 9:34:3 msg Hay buena cobertura con la residencia 22 stats (rx_timestamp=67062604, rssi=-120, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=22, tx_frequency=868000000)
27/7/2020 9:34:6 msg Hay buena cobertura con la residencia 23 stats (rx_timestamp=67062604, rssi=-120, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=23, tx_frequency=868000000)
27/7/2020 9:34:8 msg Hay buena cobertura con la residencia 24 stats (rx_timestamp=71273230, rssi=-110, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=24, tx_frequency=868000000)
27/7/2020 9:34:11 msg Hay buena cobertura con la residencia 25 stats (rx_timestamp=74322276, rssi=-109, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=25, tx_frequency=868000000)
27/7/2020 9:34:13 msg Hay buena cobertura con la residencia 26 stats (rx_timestamp=74322276, rssi=-109, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=26, tx_frequency=868000000)
27/7/2020 9:34:16 msg Hay buena cobertura con la residencia 27 stats (rx_timestamp=74322276, rssi=-109, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=27, tx_frequency=868000000)
27/7/2020 9:34:18 msg Hay buena cobertura con la residencia 28 stats (rx_timestamp=81529280, rssi=-109, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=28, tx_frequency=868000000)
27/7/2020 9:34:21 msg Hay buena cobertura con la residencia 29 stats (rx_timestamp=84728282, rssi=-109, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=29, tx_frequency=868000000)
27/7/2020 9:34:24 msg Hay buena cobertura con la residencia 30 stats (rx_timestamp=87788281, rssi=-109, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=30, tx_frequency=868000000)
27/7/2020 9:34:26 msg Hay buena cobertura con la residencia 31 stats (rx_timestamp=87788281, rssi=-109, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=31, tx_frequency=868000000)
27/7/2020 9:34:28 msg Hay buena cobertura con la residencia 32 stats (rx_timestamp=87788281, rssi=-109, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=32, tx_frequency=868000000)
27/7/2020 9:34:31 msg Hay buena cobertura con la residencia 33 stats (rx_timestamp=94265283, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=33, tx_frequency=868000000)
27/7/2020 9:34:34 msg Hay buena cobertura con la residencia 34 stats (rx_timestamp=97351286, rssi=-103, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=34, tx_frequency=868000000)
27/7/2020 9:34:36 msg Hay buena cobertura con la residencia 35 stats (rx_timestamp=97351286, rssi=-103, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=35, tx_frequency=868000000)
27/7/2020 9:34:38 msg Hay buena cobertura con la residencia 36 stats (rx_timestamp=97351286, rssi=-103, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=36, tx_frequency=868000000)
27/7/2020 9:34:41 msg Hay buena cobertura con la residencia 37 stats (rx_timestamp=104390245, rssi=-104, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=37, tx_frequency=868000000)
27/7/2020 9:34:44 msg Hay buena cobertura con la residencia 38 stats (rx_timestamp=107384285, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=38, tx_frequency=868000000)
27/7/2020 9:34:46 msg Hay buena cobertura con la residencia 39 stats (rx_timestamp=107384285, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=39, tx_frequency=868000000)
27/7/2020 9:34:49 msg Hay buena cobertura con la residencia 40 stats (rx_timestamp=107384285, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=40, tx_frequency=868000000)
27/7/2020 9:34:51 msg Hay buena cobertura con la residencia 41 stats (rx_timestamp=113966283, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=41, tx_frequency=868000000)
27/7/2020 9:34:54 msg Hay buena cobertura con la residencia 42 stats (rx_timestamp=117196286, rssi=-103, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=42, tx_frequency=868000000)
27/7/2020 9:34:56 msg Hay buena cobertura con la residencia 43 stats (rx_timestamp=120304242, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=43, tx_frequency=868000000)
27/7/2020 9:34:59 msg Hay buena cobertura con la residencia 44 stats (rx_timestamp=120304242, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=44, tx_frequency=868000000)
27/7/2020 9:35:1 msg Hay buena cobertura con la residencia 45 stats (rx_timestamp=120304242, rssi=-102, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=45, tx_frequency=868000000)
27/7/2020 9:35:4 msg Hay buena cobertura con la residencia 46 stats (rx_timestamp=127502746, rssi=-109, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=46, tx_frequency=868000000)
27/7/2020 9:35:7 msg Hay buena cobertura con la residencia 47 stats (rx_timestamp=130488288, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=47, tx_frequency=868000000)
27/7/2020 9:35:9 msg Hay buena cobertura con la residencia 48 stats (rx_timestamp=130488288, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=48, tx_frequency=868000000)
27/7/2020 9:35:12 msg Hay buena cobertura con la residencia 49 stats (rx_timestamp=133733287, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=49, tx_frequency=868000000)
27/7/2020 9:35:14 msg Hay buena cobertura con la residencia 50 stats (rx_timestamp=137753292, rssi=-103, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=50, tx_frequency=868000000)
27/7/2020 9:35:17 msg Hay buena cobertura con la residencia 51 stats (rx_timestamp=141068247, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=51, tx_frequency=868000000)
27/7/2020 9:35:19 msg Hay buena cobertura con la residencia 52 stats (rx_timestamp=141068247, rssi=-101, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=52, tx_frequency=868000000)
27/7/2020 9:35:22 msg Hay buena cobertura con la residencia 53 stats (rx_timestamp=144844250, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=53, tx_frequency=868000000)
27/7/2020 9:35:24 msg Hay buena cobertura con la residencia 54 stats (rx_timestamp=148018286, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=54, tx_frequency=868000000)
27/7/2020 9:35:27 msg Hay buena cobertura con la residencia 55 stats (rx_timestamp=151258241, rssi=-104, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=55, tx_frequency=868000000)
27/7/2020 9:35:29 msg Hay buena cobertura con la residencia 56 stats (rx_timestamp=151258241, rssi=-104, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=56, tx_frequency=868000000)
27/7/2020 9:35:32 msg Hay buena cobertura con la residencia 57 stats (rx_timestamp=155092290, rssi=-104, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=57, tx_frequency=868000000)
27/7/2020 9:35:35 msg Hay buena cobertura con la residencia 58 stats (rx_timestamp=157701289, rssi=-104, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=58, tx_frequency=868000000)
27/7/2020 9:35:38 msg Hay buena cobertura con la residencia 59 stats (rx_timestamp=161019246, rssi=-103, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=59, tx_frequency=868000000)
27/7/2020 9:35:40 msg Hay buena cobertura con la residencia 60 stats (rx_timestamp=164325203, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=60, tx_frequency=868000000)
27/7/2020 9:35:43 msg Hay buena cobertura con la residencia 61 stats (rx_timestamp=164325203, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=61, tx_frequency=868000000)
------------------------
------------------------
27/7/2020 9:33:7 msg Hay buena cobertura con la residencia 0 stats (rx_timestamp=10534623, rssi=-100, snr=6.0, sfrx=7, sftx=0, tx_trials=0, tx_power=14, tx_time_on_air=0, tx_counter=0, tx_frequency=0)
27/7/2020 9:33:9 msg Hay buena cobertura con la residencia 1 stats (rx_timestamp=10534623, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=1, tx_frequency=868000000)
27/7/2020 9:33:11 msg Hay buena cobertura con la residencia 2 stats (rx_timestamp=10534623, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=2, tx_frequency=868000000)
27/7/2020 9:33:14 msg Hay buena cobertura con la residencia 3 stats (rx_timestamp=17062578, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=3, tx_frequency=868000000)
27/7/2020 9:33:16 msg Hay buena cobertura con la residencia 4 stats (rx_timestamp=17062578, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=4, tx_frequency=868000000)
27/7/2020 9:33:19 msg Hay buena cobertura con la residencia 5 stats (rx_timestamp=17062578, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=5, tx_frequency=868000000)
27/7/2020 9:33:21 msg Hay buena cobertura con la residencia 6 stats (rx_timestamp=17062578, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=6, tx_frequency=868000000)
27/7/2020 9:33:24 msg Hay buena cobertura con la residencia 7 stats (rx_timestamp=27118618, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=7, tx_frequency=868000000)
27/7/2020 9:33:26 msg Hay buena cobertura con la residencia 8 stats (rx_timestamp=30244615, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=8, tx_frequency=868000000)
27/7/2020 9:33:29 msg Hay buena cobertura con la residencia 9 stats (rx_timestamp=30244615, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=9, tx_frequency=868000000)
27/7/2020 9:33:31 msg Hay buena cobertura con la residencia 10 stats (rx_timestamp=33488573, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=10, tx_frequency=868000000)
27/7/2020 9:33:34 msg Hay buena cobertura con la residencia 11 stats (rx_timestamp=37327531, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=11, tx_frequency=868000000)
27/7/2020 9:33:37 msg Hay buena cobertura con la residencia 12 stats (rx_timestamp=40449571, rssi=-100, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=12, tx_frequency=868000000)
27/7/2020 9:33:39 msg Hay buena cobertura con la residencia 13 stats (rx_timestamp=40449571, rssi=-100, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=13, tx_frequency=868000000)
27/7/2020 9:33:42 msg Hay buena cobertura con la residencia 14 stats (rx_timestamp=43692608, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=14, tx_frequency=868000000)
